Tên di tích,Địa điểm,Loại di tích,Đường dẫn hình ảnh,Mô tả
Chùa Thái Lạc,"Huyện Văn Lâm,tỉnh Hưng Yên",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Chùa Thái Lạc ở xã Lạc Hồng,huyện Văn Lâm,tỉnh Hưng Yên.Chùa thuộc hệ thống chùa Tứ Pháp,thờ Phật và Pháp Vân.Chùa nổi tiếng vì có các bức chạm gõ từ đời Trần."
Đền thờ Lê Hoàn,"Huyện Thọ Xuân,tỉnh Thanh Hóa",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Đền thờ Lê Hoàn nằm ở làng Trung Lập,xã Xuân Lập,huyện Thọ Xuân,tỉnh Thanh Hóa,Việt Nam.Năm 2018,đền thờ Lê Hoàn được xếp hạng Di tích quốc gia đặc biệt.Trong đền còn lưu giữ nhiều đồ vật quý,đặc biệt có một đĩa bằng đá trắng,đường kính 36 cm trong lòng đĩa ghi chữ:""Giang Nam nhất phiến tuyết;Trác khí vạn niên trân""."
Đình Tường Phiêu,"Huyện Phúc Thọ,thành phố Hà Nội",Di tích kiến trúc nghệ thuật,,"Đình Tường Phiêu (tên gọi khác là Đình Cả) là một ngôi đình có vị trí nằm ở xã Tích Giang,huyện Phúc Thọ,thành phố Hà Nội.Ngôi đình này được Thủ tướng Chính phủ Việt Nam quyết định xếp hạng và công nhận là di tích quốc gia đặc biệt vào năm 2020.Với nhiều giá trị văn hóa,lịch sử và mỹ thuật,đình Tường Phiêu thường được xem là công trình kiến trúc mang tính biểu tượng của xứ Đoài."
Đình Thổ Tang,"Huyện Vĩnh Tường,tỉnh Vĩnh Phúc",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Dinh_tho_tang.jpg/250px-Dinh_tho_tang.jpg,"Đình Thổ Tang là ngôi đình của làng Thổ Tang,nay là thị trấn Thổ Tang,huyện Vĩnh Tường,tỉnh Vĩnh Phúc,Việt Nam."
Đình So,"Huyện Quốc Oai,thành phố Hà Nội",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/%C4%90%C3%ACnh_So-C%E1%BB%99ng_Ho%C3%A0.jpg/180px-%C4%90%C3%ACnh_So-C%E1%BB%99ng_Ho%C3%A0.jpg,"Đình So là một công trình kiến trúc đã được xếp hạng di tích quốc gia đặc biệt của Việt Nam.Là đình của làng So bao gồm toàn bộ xã Cộng Hòa và xã Tân Hòa (ngoại trừ thôn An Ninh và Thổ Ngoã) huyện Quốc Oai,thành phố Hà Nội,Việt Nam.Đây là một trong những ngôi đình đẹp nhất xứ Đoài,dân gian có câu ""Đẹp đình So - To đình Cấn"".Đình được xây dựng năm 1673 thờ Tam vị Đại Vương là tướng nhà Đinh có công giúp vua Đinh Tiên Hoàng - Đinh Bộ Lĩnh dẹp loạn 12 sứ quân."
Gò Đống Đa,"Quận Đống Đa,thành phố Hà Nội",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Go_Dong_Da.JPG/250px-Go_Dong_Da.JPG,"Gò Đống Đa là một gò đất và là một di tích nằm bên phố Tây Sơn,phường Quang Trung,quận Đống Đa,thành phố Hà Nội.Tại đây vào năm 1789,quân Tây Sơn đã đại phá và đánh thắng quân Thanh trong Trận Ngọc Hồi - Đống Đa."
Nhà đày Buôn Ma Thuột,"Thành phố Buôn Ma Thuột,tỉnh Đắk Lắk",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/vi/thumb/3/3c/To%C3%A0n_c%E1%BA%A3nh_nh%C3%A0_%C4%90%C3%A0y.jpg/250px-To%C3%A0n_c%E1%BA%A3nh_nh%C3%A0_%C4%90%C3%A0y.jpg,"Nhà Đày Buôn Ma Thuột là một di tích lịch sử tại Đắk Lắk,Việt Nam với kết cấu là một di tích hệ thống nhà tù (nhà đày) cũ từ thời Pháp thuộc,hiện đang do Sở Văn hóa-Thể thao và Du lịch tỉnh Đắk Lắk quản lý.Trước đó,từ 1975 đến 1979 Nhà đày được giao cho Công an Đắk Lắk quản lý.Từ năm 1979,Nhà đày thuộc sự quản lý của Công ty Văn hoá - Thông tin Đắk Lắk.Ngày 10 tháng 7 năm 1980 Nhà đày được Bộ Văn hóa - Thông tin công nhận là di tích cấp quốc gia."
Ngũ Hành Sơn,"Quận Ngũ Hành Sơn,thành phố Đà Nẵng",Danh lam thắng cảnh,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Ngu_hanh_son_toan_canh.jpg/250px-Ngu_hanh_son_toan_canh.jpg,"Ngũ Hành Sơn (chữ Hán:五行山) là một danh thắng gồm 6 ngọn núi đá vôi nhô lên trên một bãi cát ven biển,trên một diện tích khoảng 2 km² nằm cách trung tâm thành phố Đà Nẵng,Việt Nam khoảng 8 km về phía Đông Nam,ngay trên tuyến đường Đà Nẵng - Hội An;nay thuộc phường Hòa Hải,quận Ngũ Hành Sơn,thành phố Đà Nẵng.Ngũ Hành Sơn gồm các ngọn núi:Mộc Sơn,Thủy Sơn (lớn,cao và đẹp nhất),Thổ Sơn,Kim Sơn và Hỏa Sơn (có hai ngọn là Dương Hỏa Sơn và Âm Hỏa Sơn)."
Khu bảo tồn thiên nhiên Na Hang – Lâm Bình,"Huyện Na Hang và huyện Lâm Bình,tỉnh Tuyên Quang",Danh lam thắng cảnh,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Cot_buoc_trau.jpg/250px-Cot_buoc_trau.jpg,"Khu bảo tồn thiên nhiên Na Hang – Lâm Bình là một khu bảo tồn thiên nhiên nằm trên địa bàn hai huyện Na Hang và Lâm Bình thuộc tỉnh Tuyên Quang,Việt Nam."
Chi Lăng,"Huyện Chi Lăng,tỉnh Lạng Sơn",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Chi_L%C4%83ng_1.jpg/180px-Chi_L%C4%83ng_1.jpg,"Chi Lăng (支棱) là một cửa ải nổi tiếng trong lịch sử Việt Nam.Nơi đây vốn là một thung lũng có sông Thương chảy qua,trải dài gần 20 km từ sông Hóa đến xã Mai Sao,thuộc huyện Chi Lăng,tỉnh Lạng Sơn.Phía đông thung lũng là dãy núi đất Thái Họa – Bảo Đài,còn phía tây là dãy núi đá Cai Kinh."
Địa điểm Chiến thắng Xương Giang,"Thành phố Bắc Giang,tỉnh Bắc Giang",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Thành Xương Giang là một thành cổ hiện chỉ còn lại phế tích tại tỉnh Bắc Giang,Việt Nam.Đây là thành được nhà Minh xây dựng vào đầu thế kỷ XV sau khi xâm chiếm Đại Ngu.Thành tồn tại đến năm 1427 thì bị nghĩa quân Lam Sơn hạ trong trận Xương Giang."
Núi Non Nước,"Thành phố Hoa Lư,tỉnh Ninh Bình","Di tích lịch sử,danh lam thắng cảnh",https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Huynonnuoc2.jpg/250px-Huynonnuoc2.jpg,"Núi Non Nước (tên cổ là Dục Thúy Sơn),là một danh thắng nằm ở ngã ba sông,nơi sông Vân đổ vào sông Đáy,sát với cầu Ninh Bình trên tuyến đường sắt Bắc Nam.Núi là một tiền đồn nằm ở cửa ngõ phía đông thành phố Hoa Lư.Lối lên đỉnh Non Nước qua 72 bậc gạch đá,chia làm 5 cấp.Đỉnh núi tương đối bằng phẳng,cây cối xanh mát,có lầu đón gió rất thuận tiện nghỉ ngơi,giải trí cho khách tham quan.Núi Non Nước đã được xếp hạng là di tích lịch sử và thắng cảnh cấp quốc gia đặc biệt quan trọng của Việt Nam,cùng với núi Cá Voi,núi Cánh Diều và núi Kỳ Lân được mệnh danh là Tứ đại danh sơn - tức bốn ngọn núi nổi tiếng ở trung tâm thành phố Hoa Lư."
Sầm Sơn,"Thành phố Sầm Sơn,tỉnh Thanh Hóa","Di tích lịch sử,danh lam thắng cảnh",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Bi%E1%BB%83n_S%E1%BA%A7m_S%C6%A1n_n%C4%83m_1905..jpg/250px-Bi%E1%BB%83n_S%E1%BA%A7m_S%C6%A1n_n%C4%83m_1905..jpg,"Núi Trường Lệ,còn được gọi là Sầm Sơn,Núi Sầm hay Núi Gầm,là một dãy núi nằm ven biển phía nam thành phố Sầm Sơn,tỉnh Thanh Hóa.Dãy núi này hiện được bao phủ bởi một diện tích rừng đặc dụng,được đánh giá là có cảnh quan thiên nhiên đẹp và là khu vực đa dạng về sinh học.Trên núi có Hòn Trống Mái là một trong những thắng cảnh của tỉnh Thanh Hóa.Bên cạnh đó,nơi đây còn có một số ngôi đền cổ như Đền Độc Cước,Đền Cô Tiên và Đền Tô Hiến Thành."
Ruộng bậc thang Mù Cang Chải,"Huyện Mù Cang Chải,tỉnh Yên Bái",Danh lam thắng cảnh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/S%C3%81NG_S%E1%BB%9AM_%E1%BB%9E_M%C3%99_CANG_CH%E1%BA%A2I_-_panoramio.jpg/250px-S%C3%81NG_S%E1%BB%9AM_%E1%BB%9E_M%C3%99_CANG_CH%E1%BA%A2I_-_panoramio.jpg,"Ruộng bậc thang Mù Cang Chải là những ruộng bậc thang nằm trên các sườn núi,lớp nọ gối tiếp lớp kia với diện tích khoảng 2.200 ha ở huyện Mù Cang Chải,Yên Bái.Năm 2007,330 ha diện tích ruộng bậc thang thuộc 3 xã La Pán Tẩn,Chế Cu Nha,Dế Xu Phình được xếp hạng là di tích quốc gia như là một trong những danh thắng độc đáo bậc nhất tại Việt Nam.Và đến năm 2019,danh thắng ruộng bậc thang Mù Cang Chải đã Thủ tướng Chính phủ xếp hạng là Di tích quốc gia đặc biệt."
Đình Đại Phùng,"Huyện Đan Phượng,thành phố Hà Nội",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Đình Đại Phùng là một ngôi đình có vị trí nằm ở xã Đan Phượng,huyện Đan Phượng,thành phố Hà Nội.Ngôi đình này được Thủ tướng Chính phủ Việt Nam quyết định xếp hạng và công nhận là di tích quốc gia đặc biệt vào năm 2020.Đình nổi tiếng được biết đến với nghệ thuật kiến trúc gỗ cổ được coi là kinh điển quý hiếm ở Việt Nam."
Đền - Chùa - Đình Hai Bà Trưng,"Quận Hai Bà Trưng,thành phố Hà Nội",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Ch%C3%ADnh_%C4%91i%E1%BB%87n%2C_%C4%91%E1%BB%81n_Hai_B%C3%A0_Tr%C6%B0ng%2C_qu%E1%BA%ADn_Hai_B%C3%A0_Tr%C6%B0ng%2C_H%C3%A0_N%E1%BB%99i.jpg/250px-Ch%C3%ADnh_%C4%91i%E1%BB%87n%2C_%C4%91%E1%BB%81n_Hai_B%C3%A0_Tr%C6%B0ng%2C_qu%E1%BA%ADn_Hai_B%C3%A0_Tr%C6%B0ng%2C_H%C3%A0_N%E1%BB%99i.jpg,"Đền Hai Bà Trưng,còn gọi là Đền Đồng Nhân,là một ngôi đền thờ Hai Bà Trưng tọa lạc tại phường Đồng Nhân,quận Hai Bà Trưng,thành phố Hà Nội.Hiện nay,đền Hai Bà Trưng nằm trên cùng một khuôn viên với hai di tích khác là chùa Viên Minh và đình Đồng Nhân,tạo thành Cụm di tích Đền – Chùa – Đình Hai Bà Trưng được Thủ tướng Chính phủ công nhận là di tích quốc gia đặc biệt vào ngày 31 tháng 12 năm 2019."
Hệ thống di tích lưu niệm Chủ tịch Hồ Chí Minh tại Thừa Thiên Huế,"Thành phố Huế,tỉnh Thừa Thiên Huế",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Trình soạn thảo sẽ tải bây giờ.Nếu một chốc nữa thông điệp này vẫn xuất hiện,xin hãy tải lại trang."
An toàn khu II Hiệp Hòa,"Huyện Hiệp Hòa,tỉnh Bắc Giang",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"ATK II (An toàn khu thứ hai) của Trung ương và Xứ ủy Bắc kỳ trong thời kỳ tiền khởi nghĩa là vùng đất gồm huyện Hiệp Hòa (Bắc Giang),huyện Phổ Yên và phần phía nam của huyện Phú Bình (Thái Nguyên).Nơi đây được Chính phủ Việt Nam xếp hạng Di tích quốc gia đặc biệt."
Căn cứ Cái Chanh,"Huyện Hồng Dân,tỉnh Bạc Liêu",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Căn cứ Cái Chanh là một di tích lịch sử quốc gia đặc biệt tại ấp Cây Cui,xã Ninh Thạnh Lợi,huyện Hồng Dân,tỉnh Bạc Liêu,Việt Nam."
Đền An Xá,"Huyện Tiên Lữ,tỉnh Hưng Yên",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Đền An Xá,tên chữ là Thụy Ứng quán,còn được gọi là đền Đậu An,là ngôi đền thuộc thôn An Xá,xã An Viên,huyện Tiên Lữ,tỉnh Hưng Yên,Việt Nam.Đền được xây dựng trên một khu đất rộng,cao ráo,là nơi thờ Ngọc Hoàng Thượng Đế,Ngũ Lão Tiên Ông (những vị thần tiên của văn hóa Đạo giáo),cùng các vị Thiên tiên,Địa tiên tương truyền là những vị tiên giúp đỡ dân làng khai khẩn đất hoang,diệt trừ thú dữ,bảo vệ mùa màng."
Đình Hạ Hiệp,"Huyện Phúc Thọ,thành phố Hà Nội",Di tích kiến trúc nghệ thuật,,"Đình Hạ Hiệp là một ngôi đình có vị trí nằm ở xã Liên Hiệp,huyện Phúc Thọ,thành phố Hà Nội.Ngôi đình này được Thủ tướng Chính phủ Việt Nam quyết định xếp hạng và công nhận là di tích quốc gia đặc biệt vào năm 2020.Đình này còn có tên là đình Liên Hiệp hay đình Kẻ Hiệp."
Lăng mộ và Đền thờ Nguyễn Xí,"Huyện Nghi Lộc,tỉnh Nghệ An","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/%C4%90%E1%BB%81n_th%E1%BB%9D_Nguy%E1%BB%85n_X%C3%AD%2C_Nghi_H%E1%BB%A3p%2C_Nghi_L%E1%BB%99c%2C_Ngh%E1%BB%87_An_3.jpeg/180px-%C4%90%E1%BB%81n_th%E1%BB%9D_Nguy%E1%BB%85n_X%C3%AD%2C_Nghi_H%E1%BB%A3p%2C_Nghi_L%E1%BB%99c%2C_Ngh%E1%BB%87_An_3.jpeg,
Gành Đá Đĩa,"Huyện Tuy An,tỉnh Phú Yên",Danh lam thắng cảnh,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/G%C3%A0nh_%C4%90%C3%A1_%C4%90%C4%A9a.jpg/250px-G%C3%A0nh_%C4%90%C3%A1_%C4%90%C4%A9a.jpg,"Gành Đá Đĩa hay Ghềnh Đá Đĩa là một danh thắng thiên nhiên tại xã An Ninh Đông,huyện Tuy An,tỉnh Phú Yên,Việt Nam.Địa điểm này là một đoạn bờ biển có các cột đá bazan hình lăng trụ,trông giống như những chiếc đĩa xếp chồng lên nhau."
Quần thể di tích Tây Sơn Thượng Đạo,"Thị xã An Khê,huyện Đak Pơ,huyện Kbang và huyện Kông Chro,tỉnh Gia Lai",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,
Khu lưu niệm Chủ tịch Hồ Chí Minh trên đảo Cô Tô,"Huyện Cô Tô,tỉnh Quảng Ninh",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,
Khu di tích lịch sử cách mạng Việt Nam - Lào,"Huyện Yên Châu,tỉnh Sơn La",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,
Thăng Long tứ trấn,"Quận Ba Đình,quận Hoàn Kiếm và quận Đống Đa,thành phố Hà Nội","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Thăng Long tứ trấn là tên gọi chỉ 4 ngôi đền thiêng thờ 4 vị thần trấn giữ 4 vị trí huyết mạch phía đông,tây,nam,bắc của kinh thành Thăng Long xưa.Bốn ngôi đền bao gồm:"
Rộc Tưng – Gò Đá,"Thị xã An Khê,tỉnh Gia Lai",Di tích khảo cổ,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,
Văn hóa Sa Huỳnh,"Thị xã Đức Phổ,tỉnh Quảng Ngãi",Di tích khảo cổ,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/%C4%90%E1%BA%A7m_An_Kh%C3%AA.jpg/250px-%C4%90%E1%BA%A7m_An_Kh%C3%AA.jpg,"Khu di chỉ văn hóa Sa Huỳnh là cụm di chỉ khảo cổ tại thị xã Đức Phổ,tỉnh Quảng Ngãi,nơi phát hiện ra nền văn hóa Sa Huỳnh.Cụm di chỉ này gồm các di chỉ Phú Khương,Thạnh Đức và Long Thạnh,nằm trên địa bàn phường Phổ Thạnh và xã Phổ Khánh."
Cụm đình Hương Canh,"Huyện Bình Xuyên,tỉnh Vĩnh Phúc",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Hương Canh là thị trấn huyện lỵ của huyện Bình Xuyên,tỉnh Vĩnh Phúc,Việt Nam."
Đền thờ Vua Mai Hắc Đế,"Huyện Nam Đàn,tỉnh Nghệ An",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Mai Hắc Đế (chữ Hán:梅黑帝;670 – 723),tên thật là Mai Thúc Loan (梅叔鸞),là vị vua lãnh đạo cuộc khởi nghĩa chống lại sự chiếm đóng của nhà Đường ở miền Bắc Việt Nam vào đầu thế kỉ thứ 8.Trong lịch sử Việt Nam,ông được xem như một vị anh hùng dân tộc."
Địa điểm Chiến thắng Ấp Bắc,"Thị xã Cai Lậy,tỉnh Tiền Giang",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Ap_Bac_Victory_Tien_Giang.jpg/180px-Ap_Bac_Victory_Tien_Giang.jpg,
Thương cảng Vân Đồn,"Huyện Vân Đồn,tỉnh Quảng Ninh",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Thương cảng Vân Đồn từng là một thương cảng của nước Đại Việt,tồn tại từ giữa thế kỷ 12 đến cuối thế kỷ 18 ở vùng biển nay thuộc tỉnh Quảng Ninh,Việt Nam.Đây là trung tâm giao thương lớn và quan trọng của Việt Nam lúc bấy giờ với nhiều thuyền buôn từ khắp châu Á và châu Âu đến buôn bán,trao đổi hàng hóa."
Đình Trà Cổ,"Thành phố Móng Cái,tỉnh Quảng Ninh",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/DinhTraCo.jpg/250px-DinhTraCo.jpg,"Đình Trà Cổ nằm ở khu Nam Thọ,phường Trà Cổ,thành phố Móng Cái,tỉnh Quảng Ninh,Việt Nam.Đây được đánh giá là ngôi đình khá đồ sộ ở địa đầu đất nước và hoàn toàn mang dấu ấn nền văn hoá Việt.Ngày 24/10/2023,đình đã được Thủ tướng chính phủ ký quyết định số 1225/QĐ-TTg xếp hạng Di tích Quốc gia Đặc biệt."
Di tích khảo cổ Hang xóm Trại và Mái đá làng Vành,"Huyện Lạc Sơn,tỉnh Hòa Bình",Di tích khảo cổ,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Trình soạn thảo sẽ tải bây giờ.Nếu một chốc nữa thông điệp này vẫn xuất hiện,xin hãy tải lại trang."
Di tích khảo cổ Vĩnh Hưng,"Huyện Vĩnh Lợi,tỉnh Bạc Liêu",Di tích khảo cổ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Vinh_Hung_tower%2C_Vinh_Loi%2C_Bac_Lieu.jpg/250px-Vinh_Hung_tower%2C_Vinh_Loi%2C_Bac_Lieu.jpg,"Tháp Vĩnh Hưng là một di tích tọa lạc tại ấp Trung Hưng 1B,xã Vĩnh Hưng A,huyện Vĩnh Lợi,tỉnh Bạc Liêu.Đây là một trong số các kiến trúc tháp thuộc nền văn hóa Óc Eo còn sót lại tại Nam Bộ Việt Nam."
Di tích lịch sử Các địa điểm khởi nghĩa Trương Định,"Thành phố Gò Công,huyện Gò Công Đông và huyện Tân Phú Đông,tỉnh Tiền Giang.",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/%C4%90%E1%BB%81n_v%C3%A0_m%E1%BB%99_Tr%C6%B0%C6%A1ng_%C4%90%E1%BB%8Bnh.JPG/250px-%C4%90%E1%BB%81n_v%C3%A0_m%E1%BB%99_Tr%C6%B0%C6%A1ng_%C4%90%E1%BB%8Bnh.JPG,"Trình soạn thảo sẽ tải bây giờ.Nếu một chốc nữa thông điệp này vẫn xuất hiện,xin hãy tải lại trang."
"Quần thể di tích đình,đền,chùa Tiên Lục","Huyện Lạng Giang,tỉnh Bắc Giang",Di tích kiến trúc nghệ thuật,,
Đình Đình Bảng,"Thành phố Từ Sơn,tỉnh Bắc Ninh",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Gate_Dinh_Bang_communal_house.JPG/220px-Gate_Dinh_Bang_communal_house.JPG,"Đình Đình Bảng,tên Nôm là đình Báng là một ngôi đình nằm ở làng Đình Bảng (xưa là làng Cổ Pháp hay tên Nôm là làng Báng),thành phố Từ Sơn,tỉnh Bắc Ninh.Đình được xây dựng vào đầu thế kỷ 18,thờ các vị thành hoàng gồm Cao Sơn đại vương (thần Núi),Thủy Bá đại vương (thần Nước) và Bách Lệ đại vương (thần Đất) đồng thời thờ sáu vị có công lập lại làng vào thế kỷ 15."
Khu di tích Đa Hòa - Dạ Trạch,"Huyện Khoái Châu,tỉnh Hưng Yên",Di tích lịch sử - kiến trúc nghệ thuật,,"Dạ Trạch là một xã thuộc huyện Khoái Châu,tỉnh Hưng Yên,Việt Nam."
Mộ và Khu lưu niệm Lê Hữu Trác,"Huyện Hương Sơn,tỉnh Hà Tĩnh",Di tích lịch sử,,"Hải Thượng Lãn Ông (chữ Hán:海上懶翁,27 tháng 12 năm 1724 – 18 tháng 3 năm 1791),tên thật là Lê Hữu Trác (黎友晫) là một lang y,được coi là ông tổ của ngành y học cổ truyền Việt Nam."
Đường Hồ Chí Minh trên biển,"Thành phố Hải Phòng,tỉnh Phú Yên,tỉnh Bà Rịa - Vũng Tàu,tỉnh Cà Mau",Di tích lịch sử,,"Về các con đường khác cùng tên ""Đường Hồ Chí Minh"",xem Đường Hồ Chí Minh (định hướng)."
Trận địa pháo 105mm của Đại đội 805,"Thành phố Điện Biên Phủ và huyện Điện Biên,tỉnh Điện Biên",Di tích lịch sử,,
